Team,ELO,RollingGoalsScored,RollingGoalsConceeded,RollingShots,RollingPoints,RollingSTarget,RollingFreekick,RollingCorner,TotalPoints
Arsenal,1823.6404610292395,1.6,0.2,14.8,3.0,5.4,10.2,4.0,85
Aston Villa,1632.9326640870684,1.8,1.6,11.8,1.4,4.6,9.6,5.2,65
Bournemouth,1760.895873027292,1.6,0.8,14.0,1.8,4.6,12.0,6.2,57
Brentford,1585.8417271810551,1.4,1.6,11.0,1.0,3.4,9.4,4.6,53
Brighton,1554.4716015285694,1.4,1.4,14.8,1.2,5.8,10.8,6.2,53
Burnley,1351.6488133824985,0.8,1.6,10.8,0.4,3.6,13.0,3.0,22
Chelsea,1483.9109455954022,1.0,2.0,10.4,0.8,2.6,12.8,5.4,52
Crystal Palace,1510.0071570124906,1.0,2.4,11.6,0.4,3.8,7.4,3.4,45
Everton,1458.59642145352,1.4,2.2,11.2,0.4,4.4,13.0,4.8,49
Fulham,1583.8358143673768,0.8,1.0,14.2,1.4,4.0,11.8,5.8,52
Ipswich,1280.2300067705853,0.6,2.2,12.2,0.2,3.0,10.4,3.2,22
Leeds,1630.39455024568,1.4,1.4,11.8,1.6,3.8,10.4,3.8,47
Leicester,1368.9694510298943,1.2,1.4,8.8,1.4,3.0,14.2,3.2,25
Liverpool,1560.0904033802674,1.8,2.0,14.0,1.0,4.8,11.2,7.0,60
Luton,1301.7373935330193,1.2,3.0,10.4,0.2,4.2,14.2,5.2,26
Man City,1746.9475374421709,2.2,1.2,18.2,1.6,5.2,7.6,8.6,78
Man United,1796.6853983924757,2.2,1.0,16.0,2.6,5.6,9.8,5.6,71
Newcastle,1545.7684151211981,1.4,1.2,12.8,1.4,4.8,9.0,4.0,49
Norwich,1225.9593776209606,0.2,3.0,9.2,0.2,2.4,8.6,4.0,22
Nott'm Forest,1616.4675467848388,2.4,1.2,11.8,1.6,5.0,11.4,4.2,44
Sheffield United,1221.0743038066098,0.8,3.2,12.2,0.0,3.2,10.0,4.4,16
Southampton,1237.5602258859367,0.4,1.6,6.0,0.2,1.8,9.8,3.6,12
Sunderland,1620.9452006748604,1.2,1.6,13.2,1.6,3.0,12.0,4.4,54
Tottenham,1518.7290011041077,1.2,0.8,13.4,2.0,3.8,14.2,6.8,41
Watford,1243.7487457847767,0.6,2.0,9.2,0.2,2.0,9.8,4.2,23
West Brom,1347.3187678219501,1.0,2.4,12.0,0.2,3.4,10.6,5.8,26
West Ham,1587.7348423977642,1.2,1.6,12.6,1.2,5.4,11.4,4.0,39
Wolves,1403.8573535383898,0.6,1.4,12.6,0.6,3.4,12.2,4.4,20
